ProductName,ProductColor,ProductDescription,ProductSellingPrice,ProductRating,ProductReviewCount
Apple iPhone 15,Blue,"128 GB ROM , 15.49 cm (6.1 inch) Super Retina XDR Display , 48MP + 12MP | 12MP Front Camera , A16 Bionic Chip, 6 Core Processor Processor , 1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories","₹57,999",4.6,"4,932"
Apple iPhone 15,Black,"128 GB ROM , 15.49 cm (6.1 inch) Super Retina XDR Display , 48MP + 12MP | 12MP Front Camera , A16 Bionic Chip, 6 Core Processor Processor , 1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories","₹57,999",4.6,"4,932"
Apple iPhone 15,Pink,"128 GB ROM , 15.49 cm (6.1 inch) Super Retina XDR Display , 48MP + 12MP | 12MP Front Camera , A16 Bionic Chip, 6 Core Processor Processor , 1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories","₹57,999",4.6,"4,932"
Apple iPhone 15,Green,"128 GB ROM , 15.49 cm (6.1 inch) Super Retina XDR Display , 48MP + 12MP | 12MP Front Camera , A16 Bionic Chip, 6 Core Processor Processor , 1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories","₹57,999",4.6,"4,932"
Apple iPhone 15 Plus,Blue,"128 GB ROM , 17.02 cm (6.7 inch) Super Retina XDR Display , 48MP + 12MP | 12MP Front Camera , A16 Bionic Chip, 6 Core Processor Processor , 1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories","₹65,999",4.6,"1,228"
Apple iPhone 15 Plus,Green,"128 GB ROM , 17.02 cm (6.7 inch) Super Retina XDR Display , 48MP + 12MP | 12MP Front Camera , A16 Bionic Chip, 6 Core Processor Processor , 1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories","₹65,999",4.6,"1,228"
Apple iPhone 15 Plus,Pink,"128 GB ROM , 17.02 cm (6.7 inch) Super Retina XDR Display , 48MP + 12MP | 12MP Front Camera , A16 Bionic Chip, 6 Core Processor Processor , 1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories","₹65,999",4.6,"1,228"
Apple iPhone 15 Plus,Black,"128 GB ROM , 17.02 cm (6.7 inch) Super Retina XDR Display , 48MP + 12MP | 12MP Front Camera , A16 Bionic Chip, 6 Core Processor Processor , 1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories","₹65,999",4.6,"1,228"
Apple iPhone 15,Black,"256 GB ROM , 15.49 cm (6.1 inch) Super Retina XDR Display , 48MP + 12MP | 12MP Front Camera , A16 Bionic Chip, 6 Core Processor Processor , 1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories","₹67,999",4.6,"4,932"
Apple iPhone 15,Pink,"256 GB ROM , 15.49 cm (6.1 inch) Super Retina XDR Display , 48MP + 12MP | 12MP Front Camera , A16 Bionic Chip, 6 Core Processor Processor , 1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories","₹67,999",4.6,"4,932"
Apple iPhone 15,Green,"256 GB ROM , 15.49 cm (6.1 inch) Super Retina XDR Display , 48MP + 12MP | 12MP Front Camera , A16 Bionic Chip, 6 Core Processor Processor , 1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories","₹67,999",4.6,"4,932"
Apple iPhone 15,Blue,"256 GB ROM , 15.49 cm (6.1 inch) Super Retina XDR Display , 48MP + 12MP | 12MP Front Camera , A16 Bionic Chip, 6 Core Processor Processor , 1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories","₹67,999",4.6,"4,932"
Apple iPhone 15 Pro,Blue Titanium,"256 GB ROM , 15.49 cm (6.1 inch) Super Retina XDR Display , 48MP + 12MP + 12MP | 12MP Front Camera , A17 Pro Chip, 6 Core Processor Processor , 1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories","₹1,15,999",4.6,102
Apple iPhone 15 Pro,Natural Titanium,"256 GB ROM , 15.49 cm (6.1 inch) Super Retina XDR Display , 48MP + 12MP + 12MP | 12MP Front Camera , A17 Pro Chip, 6 Core Processor Processor , 1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories","₹1,15,999",4.6,102
Apple iPhone 15,Yellow,"128 GB ROM , 15.49 cm (6.1 inch) Super Retina XDR Display , 48MP + 12MP | 12MP Front Camera , A16 Bionic Chip, 6 Core Processor Processor , 1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories","₹57,999",4.6,"4,932"
Apple iPhone 15 Pro Max,White Titanium,"512 GB ROM , 17.02 cm (6.7 inch) Super Retina XDR Display , 48MP + 12MP + 12MP | 12MP Front Camera , A17 Pro Chip, 6 Core Processor Processor , 1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories","₹1,32,999",4.6,103
